District,School,Address,Elementary
Mountain View School District,Clearwater Valley Elementary,"306 Pine Avenue, Kooskia, ID 83539",TRUE
Mountain View School District,Elk City School,"100 Road School Road, Elk City, ID 83525",FALSE
Mountain View School District,Grangeville Elementary/Middle School,"400 South Idaho Ave., Grangeville, ID 83530",TRUE
Orofino Joint School District,Cavendish-Taekean Elementary,"456 Middle Rd., Lenore, ID 83541",TRUE
Orofino Joint School District,Orofino Elementary,"1000 Michigan Ave. Orofino, ID  83544",TRUE
Orofino Joint School District,Peck Elementary,"212 N. Main St Peck, ID  83545",TRUE
Moscow School District,A.B. McDonald Elementary,"2323 East D St., Moscow, ID 83843",TRUE
Moscow School District,Lena Whitmore Elementary,"110 South Blaine St., Moscow, ID 83843",TRUE
Moscow School District,J. Russell Elementary,"119 North Adams St., Moscow, ID 83843",TRUE
Moscow School District,West Park Elementary,"510 Home St., Moscow, ID 83843",TRUE